index,A,A_s,B,B_s
401,0,0,-0.804578032,0
402,0,0,-0.846388681,0
403,0,0,-0.962772778,0
404,0.058753218,0,-1.294950621,0
405,0.463561739,0,-1.697667394,0
406,0.807045937,0,-2.051077979,0
407,1.114728996,0,-2.353108542,0
408,1.296380043,0,-2.545414788,0
409,1.417727062,0,-2.66828319,0
410,1.512345587,0,-2.725870405,0
411,1.451229777,0,-2.598999568,0
412,1.42690318,0,-2.550790787,-0.142857143
413,1.475257192,0,-2.6281553,-0.285714286
414,1.54042244,0,-2.695698602,-0.428571429
415,1.625275067,0,-2.794540133,-0.571428571
416,1.703645161,0,-2.849650247,-0.714285714
417,1.741805077,0,-2.882544926,-0.857142857
418,1.659348079,0,-2.825297219,-1
419,1.504860742,0,-2.602454049,-1
420,1.366391591,0.142857143,-2.380623954,-1
421,1.21799469,0.285714286,-2.189023972,-1
422,1.085266113,0.428571429,-2.02116394,-1
423,0.998653003,0.571428571,-1.88671984,-1
424,0.948424544,0.714285714,-1.788099698,-1
425,1.104722432,0.857142857,-1.851182938,-1
426,1.374282156,1,-2.058344024,-1
427,1.476528849,0.857142857,-2.133744104,-1
428,1.543267386,0.714285714,-2.131294523,-1
429,1.511692865,0.571428571,-2.064135143,-1
430,1.476354054,0.428571429,-2.042513439,-0.857142857
431,1.402329309,0.285714286,-2.056629181,-0.714285714
432,1.207123348,0.142857143,-2.083978653,-0.714285714
433,0.88573449,0,-2.026657649,-0.714285714
434,0.700414181,0,-2.021581377,-0.714285714
435,0.418151583,0,-1.976850918,-0.714285714
436,0.262322971,0,-2.012819018,-0.714285714
437,0.094984055,0,-2.024584361,-0.857142857
438,0,0,-1.854822976,-1
439,0,0,-1.445652281,-0.857142857
440,0,0,-1.162764958,-0.714285714
441,0,0.142857143,-1.028274809,-0.571428571
442,0,0.285714286,-1.026013034,-0.428571429
443,0,0.428571429,-1.028714589,-0.285714286
444,0,0.571428571,-1.118804046,-0.142857143
445,0.14413929,0.714285714,-1.465931484,0
446,0.634094034,0.857142857,-1.974721091,0
447,1.049390044,1,-2.297525951,0
448,1.268535886,0.857142857,-2.371074949,0
449,1.429064614,0.714285714,-2.41463525,0
450,1.618635995,0.571428571,-2.432658332,-0.142857143
451,1.786674227,0.428571429,-2.424367087,-0.285714286
452,1.858583723,0.285714286,-2.346469879,-0.428571429
453,1.930261203,0.142857143,-2.296649933,-0.571428571
454,1.978882653,0,-2.34570803,-0.714285714
455,2.031230382,0,-2.435694286,-0.857142857
456,2.039396558,0,-2.490310124,-1
457,1.888720649,0,-2.449801854,-1
458,1.41191973,0,-2.113367762,-0.857142857
459,0.77668626,0,-1.622787884,-0.714285714
460,0.145010335,0,-1.121969632,-0.571428571
461,0,0,-0.586923122,-0.428571429
462,0,0,-0.116027628,-0.285714286
463,0,0,0,-0.142857143
464,0,0,0,0
465,0,0,0,0
466,0,0,0,0
467,0,0,0,0
468,0,0,0,0
469,0,0,0,0
470,0,0,-0.184347085,0
471,0.095444271,0,-0.377524103,0
472,0.227031946,0,-0.470537594,0
473,0.246904475,0,-0.430409908,0
474,0.335435663,0,-0.409657546,0
475,0.34387391,0,-0.374968052,0
476,0.231142793,0,-0.28830392,0
477,0.090317658,0,-0.213651657,0
478,0.007177489,0,-0.167417594,0
